W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,J
[0.10544604],[0.30039249],[0.77333979],[0.62397341],[0.91412455],[0.39577341],[0.66834364],[0.75293719],[0.91183591],[0.713665],[0.27369007],[0.91100739],[[4355.13005988]]
[0.76148601],[0.95643246],[1.42937976],[1.28001338],[1.57016452],[1.05181338],[1.32438361],[1.40897715],[1.56787588],[1.36970497],[0.92973004],[1.56704736],[[17230.82960339]]
[2.06808554],[2.26303199],[2.7359793],[2.58661292],[2.87676405],[2.35841291],[2.63098314],[2.71557669],[2.87447541],[2.6763045],[2.23632957],[2.87364689],[[68304.28431431]]
[4.67036959],[4.86531604],[5.33826335],[5.18889697],[5.4790481],[4.96069696],[5.23326719],[5.31786074],[5.47675946],[5.27858855],[4.83861362],[5.47593094],[[270895.04587205]]
[9.85319884],[10.04814529],[10.52109259],[10.37172621],[10.66187735],[10.1435262],[10.41609644],[10.50068998],[10.65958871],[10.4614178],[10.02144287],[10.65876019],[[1074502.65183585]]
[20.17556122],[20.37050766],[20.84345497],[20.69408859],[20.98423973],[20.46588858],[20.73845882],[20.82305236],[20.98195109],[20.78378018],[20.34380525],[20.98112257],[[4262136.57648961]]
[40.73405544],[40.92900189],[41.4019492],[41.25258282],[41.54273395],[41.02438281],[41.29695304],[41.38154659],[41.54044531],[41.3422744],[40.90229947],[41.53961679],[[16906379.81435313]]
[81.67930317],[81.87424962],[82.34719693],[82.19783055],[82.48798168],[81.96963054],[82.24220077],[82.32679432],[82.48569304],[82.28752213],[81.8475472],[82.48486452],[[67061727.27183237]]
[163.22775187],[163.42269832],[163.89564563],[163.74627925],[164.03643039],[163.51807924],[163.79064947],[163.87524302],[164.03414174],[163.83597083],[163.3959959],[164.03331322],[[2.66010674e+08]]
[325.64341313],[325.83835958],[326.31130689],[326.16194051],[326.45209165],[325.9337405],[326.20631073],[326.29090428],[326.44980301],[326.25163209],[325.81165716],[326.44897449],[[1.05517246e+09]]
[649.11795426],[649.31290071],[649.78584801],[649.63648163],[649.92663277],[649.40828163],[649.68085186],[649.7654454],[649.92434413],[649.72617322],[649.28619829],[649.92351561],[[4.1855048e+09]]
[1293.36480794],[1293.55975438],[1294.03270169],[1293.88333531],[1294.17348645],[1293.6551353],[1293.92770553],[1294.01229908],[1294.17119781],[1293.9730269],[1293.53305197],[1294.17036929],[[1.66024524e+10]]
[2576.47663191],[2576.67157836],[2577.14452567],[2576.99515929],[2577.28531043],[2576.76695928],[2577.03952951],[2577.12412306],[2577.28302178],[2577.08485087],[2576.64487594],[2577.28219326],[[6.58561967e+10]]
[5131.98147207],[5132.17641852],[5132.64936583],[5132.49999945],[5132.79015059],[5132.27179944],[5132.54436967],[5132.62896322],[5132.78786195],[5132.58969103],[5132.1497161],[5132.78703343],[[2.61228795e+11]]
[10221.64307916],[10221.83802561],[10222.31097291],[10222.16160653],[10222.45175767],[10221.93340653],[10222.20597676],[10222.2905703],[10222.44946903],[10222.25129812],[10221.81132319],[10222.44864051],[[1.03620444e+12]]
[20358.44848352],[20358.64342997],[20359.11637727],[20358.96701089],[20359.25716203],[20358.73881089],[20359.01138112],[20359.09597466],[20359.25487339],[20359.05670248],[20358.61672755],[20359.25404487],[[4.11026526e+12]]
[40547.37885618],[40547.57380263],[40548.04674994],[40547.89738356],[40548.1875347],[40547.66918355],[40547.94175378],[40548.02634733],[40548.18524605],[40547.98707514],[40547.54710021],[40548.18441753],[[1.63040032e+13]]
[80756.58612942],[80756.78107587],[80757.25402317],[80757.10465679],[80757.39480793],[80756.87645679],[80757.14902702],[80757.23362057],[80757.39251929],[80757.19434838],[80756.75437345],[80757.39169077],[[6.46723518e+13]]
[160839.10262228],[160839.29756873],[160839.77051603],[160839.62114965],[160839.91130079],[160839.39294965],[160839.66551988],[160839.75011342],[160839.90901215],[160839.71084124],[160839.27086631],[160839.90818363],[[2.56532891e+14]]
[320335.14551237],[320335.34045882],[320335.81340612],[320335.66403974],[320335.95419088],[320335.43583973],[320335.70840997],[320335.79300351],[320335.95190224],[320335.75373133],[320335.3137564],[320335.95107372],[[1.01757741e+15]]
